,site,date,stars,title,text,location
0,www.1password.com,2023-01-13T10:04:05.000Z,5,Discount lost and re-applied,"While migrating/upgrading from a 3-version older 1Password reference I lost the 50%-discount promotion that was offered in one of the upgrade stages. After contacting their support team this matter was handled after swift email conversation, and the discount was re-applied to my Family Plan subscription. 5-star for sure, and that includes their product and FAQ's available",BE
1,www.1password.com,2023-01-14T00:17:44.000Z,5,Support Help is Great,I'm in the process of moving to 1Password from another manager and I've had several email conversations with their support team. I'm very impressed with the information and timeliness of their responses. That really helps me to make the change since I know I can rely on them for any help I may need.,US
2,www.1password.com,2023-01-14T00:10:28.000Z,5,the excellent and knowledgeable team,the excellent and knowledgeable team. a discount for new member moving to 1Password from another service. the help provided letting me know that the windows desktop app can help with the browser extension to keep it logged-in. everything was perfect! :),GR
3,www.1password.com,2023-01-12T21:45:40.000Z,5,Lots of suggestions for password retrieval/smooth process to start all over,"I was unable to get into my account after I changed my password and somehow did not write it down correctly. Customer support really tried to help me retrieving it, giving me a whole list of things to try. Unfortunately none worked and I had to start all over again with a new account but they made it as smooth and easy as it could be. I was also reminded to download the Emergency Kit right away, which I did.",US
4,www.1password.com,2023-01-12T19:21:10.000Z,5,V happy so far,"I've been using 1password for about a week after another lastpass breach made me shop around. It's great so far, everything l need in an integrated password manager, it just stays in the background until I need it. Shared vault means we're not losing the ikea password between family members! Best bit is I got a discount code through work that required me to start a new account; quick chat with the admin team and they applied the discount - v happy :)",GB
5,www.1password.com,2023-01-12T22:44:55.000Z,5,1Password support email,"I received an email from 1Password that was concise and explained the problem clearly.  Based on the info provided, I knew how to resolve the issue.  I updated my information easily and let the support team know that I had made changes to my account info.  The support team responded quickly to let me know that the issue was now resolved.",US
6,www.1password.com,2023-01-12T15:40:44.000Z,5,Customer Support Representative Wahid H…,"Customer Support Representative Wahid H assisted me through converting my 1Password vault database to a new computer and from 1PW4 to 1PW7 without any loss of data. His support was very thorough and responses to my questions were very quick. The 1Password product is easy to use, very secure, and the Customer Support is excellent.",US
7,www.1password.com,2023-01-12T05:04:20.000Z,5,I was able to resolve the issue quickly.,My task was to transfer from a SourceNext account to a Faplan subscription. They responded quickly and courteously and helped me to resolve the issue without any loss of account data. I am very satisfied. 1Password has become an indispensable tool in our daily life.,JP
8,www.1password.com,2023-01-11T22:17:09.000Z,5,INCREDIBLE CUSTOMER SERVICE AND SUPPORT,"Since my faith in LastPass has completely disappeared, I was looking for a new password manager alternative and decided to try 1Password. As a new customer, I felt lost and frustrated because I had messed something up with my account. Yasmina from 1Password was incredibly helpful with both my billing AND technical issues. Now that I'm up and running; looking forward to sharing my experience with family friends an coworkers!",US
9,www.1password.com,2023-01-11T17:21:09.000Z,3,"I dislike the 'no in person, phone support' policy…","I like the quick email reply to my request for help.  But I dislike the 'no in person, phone support' policy. My issue could have been solved with a 10 minute phone call.  Instead, the issue took several email back and forths plus about 30 minutes of my time following the email guidance, which failed the first few attempts.",US
10,www.1password.com,2023-01-13T22:37:21.000Z,5,Very happy with 1Password.,"Very happy with 1Password. As a former Lastpass user, I must say that 1Password is so much better and user-friendly with nicer features and UI. Also great support that actually replies back to me.",DK
11,www.1password.com,2023-01-13T14:36:03.000Z,5,Good customer support,Upgrading subscription with iPhone was not possible due to Apple's restriction. Customer support was very clear and helpful with the process. I got the upgrade done easily with their support.,FI
12,www.1password.com,2023-01-10T20:08:03.000Z,5,1Password is great!,I’ve always been a fan but was reluctant deal with leaving Lastpass. The latest breach made the decision easy for me and I’ve been so impressed with the whole experience.  I have an account through Eero Plus and I’m thrilled that 1Password is letting me add a 6th family member for no additional cost. Overall the customer service experience has been great.,US
13,www.1password.com,2023-01-10T19:46:38.000Z,5,Love 1Password,"Love 1Password! Getting the security and usability combination right is tough, but I think 1Password does it well. They get it. I work in the IT industry and if you have to use a centralized password manager service, 1Password has to be it. Apps looks super sleek and nice, and are easy to use. If that's not enough, I had to work through an issue via their customer support (it was an issue of my own doing :) ) and they were incredibly helpful. Can't recommend them enough!",US
14,www.1password.com,2023-01-11T23:14:17.000Z,5,After 1 year usage,"After 1 year usage, I was considering to change from 1password, but the very kind support convinced me with an extra discount to stay and enjoy further the password manager services. I could not resist and I stayed :) 10/10 Support Experience.",CH
15,www.1password.com,2023-01-10T22:19:23.000Z,5,Changing account email from work to personal,"i like the product to begin with, and fortunately, my situation where I had to change my account email from work to personal was an easy fix. Worried it would be more complex, it seems that must be something that often happens since it was a simple procedure with well laid out instructions.",US
16,www.1password.com,2023-01-12T00:48:32.000Z,5,Amazing support team,The 1Password support team are brilliant! They are all very quick to respond on Twitter and over email. The guidance provided for my query was easy to follow and set up. I'm a very happy customer - thanks again to the 1Password team!,IE
17,www.1password.com,2023-01-12T17:24:08.000Z,5,Best customer service ever!,"Never do complex things with a migraine! I changed my password with a migraine and lost the password. Fortunately I was still logged into original account so I was able to find the instructions on how to copy all of my vault information into my new account that I set up. But I was afraid I was going to have to pay again for the new account. I contacted customer service, and Marcus was fantastic in helping me complete the process and credit the money from my original account to my new account. He even enabled me to delete the original account. I am so impressed with the customer service that Marcus provided. His emails were clear and caring. I already loved 1password but now I love it even more that I have experienced your fantastic Customer Service! Highly recommend  1password.",US
18,www.1password.com,2023-01-09T15:53:01.000Z,4,It offers good features to create…,"It offers good features to create secure passwords. It's also available for Android and Chrome with an extension, which makes things easier. In Android, sometimes it doesn't show the 1Password option to enter the password in some websites/apps, so it's a bit annoying have to switch to the app to search for the password.",CA
19,www.1password.com,2023-01-10T21:53:06.000Z,5,Indispensable piece of SW,"Indispensable piece of SW on my Mac, iPhone and iPad. Very stable and reliable, as is the support. Responsive, fast and accurate. Best of it, if there are problems, which happens, sind his is openly communicated. Very trustworthy!",DE
20,www.1password.com,2023-01-11T10:08:37.000Z,5,Fast and Helpful Support,"The support team quickly reached out to me when I raised a billing-related query. The team provided me with multiple steps and options, which helped in resolving the issue quickly",IN
21,www.1password.com,2023-01-07T16:56:18.000Z,5,One of the quickest support teams!,"One of the quickest support teams! Migrating process from another password manager is nicely done with guidance emails at the right times - and the support team has solved inquiries regarding billing within the same day. Besides, the whole ecosystem of 1password seems promising, while keeping a clean interface and a nice feature for splitting passwords up in multiple vaults.",DK
