,site,date,stars,title,text,location
0,www.amazon.com,2023-01-13T12:39:30.000Z,1,Made a purchase of a £200 controller…,Made a purchase of a £200 controller for Xbox. It said I was the next stop on the tracking. When the driver got to my door he said he “lost it” when I contacted Amazon there was no help what so ever I just kept getting “sorry for the inconvenience” sorry isn’t going to get me my purchase is it! So I have ordered yet another one and it hasn’t turned up like it should have. Well done Amazon for being absolutely useless,GB
1,www.amazon.com,2023-01-14T06:44:06.000Z,1,I ordered a Razor Naga Pro gaming mouse…,"I ordered a Razor Naga Pro gaming mouse with Amazon LLC as the seller and since you can only leave reviews for 3rd party sellers on their website, I came here. I placed the order on Nov 26 last year and was notified by email today that my order was canceled due to it being out of stock. It was supposed to arrive Jan 20, but being notified after 48 days of waiting that it was out of stock the whole time is very disappointing.",US
2,www.amazon.com,2023-01-13T20:09:05.000Z,1,Not Delivered.,"I ordered an optical tool (£34)  from the website and several weeks later, I am still waiting for the delivery. Amazon has listed the item as being delivered. It has not and despite asking for proof of delivery, I have not received any communication from Amazon. If Amazon says the item has been delivered, that is the end of the matter.  Amazon is now too big to worry about customer service and couldn't care less about its customers. I will never shop at Amazon again!",GB
3,www.amazon.com,2023-01-13T16:07:15.000Z,1,What happened to Amazon????,"What happened to Amazon? They are horrible now! I used to buy everything on Amazon, but now it seems like they went from quick shipping to excessively slow shipping, like they are going out of their way to make sure that shipping is slower than every other internet sales site. I now go out of my way to avoid using Amazon.",US
4,www.amazon.com,2023-01-13T15:47:53.000Z,1,Prime membership not worth it anymore.,"We pay more for Prime membership every month but the actual prime membership experience is dreadful, when I first started using prime 5 years ago, next day delivery meant you got your item in your hands the next day... Nowadays next day delivery might as well be next week delivery... The delivery system needs a drastic fix. I think my time as a prime member has come to an end because I see literally no reason to pay for something that is not true.... It is not next day delivery.... (I live in Central London just in case people think I live on a remote island.",GB
5,www.amazon.com,2023-01-13T20:46:27.000Z,1,Amazon sucks !!!!!!!,"I didn’t get not 1 or 2 but FIVE PACKAGES said they delivered but instead of this they never arrived in my door!!!!!! Neither my email!!!! This is so unprofessional from then, I called them twice today and they just said they cant refund me so who has my packages them????????!!! Who is stealing my packages???????!!!! Not money not packages , waiting for my son sweater and nothing!!!!!  And the customer service hung up on me!!!! Seriously??? This unprofessional.  “It’s only one Tear in the ocean, but the ocean wouldn’t be the same without that tear” you lost one customer !!!!!!",US
6,www.amazon.com,2023-01-14T03:19:37.000Z,4,"As a rule, a great company","As a rule, and I order a lot from amazon,  I have had very many pleasant experiences with amazon and only a couple of poor experiences, which in fairness, when contacting amazon, have always helped me out when the delivery has got list or not turned up.",GB
7,www.amazon.com,2023-01-13T16:14:56.000Z,2,Bad experience,"On November I ordered an IPhone 13pro from Amazon,on there website they claim that phone was Locked, but when phone is arriving was it unlocked and even the screen didn’t work as well And i email them and they returned the money. Thanks",GB
8,www.amazon.com,2023-01-12T11:24:47.000Z,1,Delivered - no it’s not!,"Why does Amazon give you an option for a safe place, but the drivers never use them! This is the third time I’ve not received an order, but the Amazon site says, “delivered to resident”, although I wasn’t in!  Amazon will refund, but it’s the item you want, not the hassle to get a replacement or a refund!",GB
9,www.amazon.com,2023-01-12T16:43:49.000Z,1,I make a $600 purchase from Amazon to…,I make a $600 purchase from Amazon to be delivered to my job. I informed them the Business Closed at 5:00 pm M-F Why is it my purchase was left at door at 8:20 pm. I am a non driver senior citizen ant hade to take a UBER to retrieve my package. I am a Prime Member and very disappointed in AMAZON!!!!!!,US
10,www.amazon.com,2023-01-13T05:58:08.000Z,1,Slamazon,I have been an Amazon prime member for 3 years now. In the past 2 years everything has gotten drastically worse. They wait a week to ship my items just in case I buy something else so they can consolidate orders to save on shipping when they used to ship immediately. No packaging or protection for any of my orders and many have had to be returned. Perishables are a gamble because you don’t know if it will be fresh or have an accurate quantity. Some real shady sellers on Amazon so please check their feedback for reviews.,US
