,site,date,stars,title,text,location
0,www.apple.com,2023-01-13T07:42:28.000Z,1,Ordered an apple gift card - horrible situation,I ordered an apple gift card which should arrive within 1 hour via email. Nothing arrived after 6 hours and when I told them to cancel the order they sent it out. It has been useless at that point and now they do not reply at all regarding the refund. Never again.,MT
1,www.apple.com,2023-01-11T11:04:06.000Z,1,10th gen iPad only works with gen 1 pen…,"10th gen iPad only works with gen 1 pen but they don't tell you that you will akso need a USB-C to Apple Pencil Adapter that's required for first time pairing. Another scum bag way that apple charges £10 for a 50p piece of excrement . If you ever decide to go the apple route I advise strongly against, far more hassle than it's worth in my opinion but sheep will be sheep I guess. 1 out of 10 is 1 to much for this company. Ultra disappointed",GB
2,www.apple.com,2023-01-11T13:46:30.000Z,1,Locking company account for 13 days,"The reset procedure was launched from the pc using the recovery credentials specified during account creation. The locked passord was not changed; it simply became unusable. The password linked to the apple id is the one used to access the pc. On the pc the password works, online it does not. The pc cannot be reset without online account. Online the password does not work. You basically pay for not having access to your hardware and not even having support.",CH
3,www.apple.com,2023-01-12T17:26:18.000Z,1,APPLE SCAMMED ME,"APPLE SCAMMED ME I live in Egypt, and i had an apple product that was defective (Beats pill XL speaker), apple had a recall program for it, i sent the speaker to apple and they sent me an email that they successfully received the speaker and that an amount of 300 euros will be in my account within 15 days (that was in 12 oct 2022), till now no money received and they gave me a ref number to search with in my bank and my bank gave me formal letter that no money is recevied in my account with such ref number..i sent this letter to apple,, and apple is refusing to give me any proof of payment or copy of transfer .and they said they will close the case  Apple case #101790098080",EG
4,www.apple.com,2023-01-11T10:27:29.000Z,5,Couldn't access my account without my…,"Couldn't access my account without my old phone (changed to a different provider) - Kanika on the live chat resolved my issue in literally minutes! So impressed and tempted to return to Apple as a result of this. 5* service, I'm not even an existing customer!",GB
5,www.apple.com,2023-01-11T21:35:20.000Z,1,Apple should be ashamed of itself and…,Apple should be ashamed of itself and fix the useless HomeKit architecture they rolled out that is destroyed the HomeKit. Don’t be too beg headed and pretend it’s ok .. on this occasion you failed big time with your updates to the home app. So mr Tim fix it.,GB
6,www.apple.com,2023-01-10T14:10:30.000Z,1,"The worst customer service hidden under the word ""safety""","The apple ID password suddenly doesn't work. I have to wait 72 hours for a simple password change! after 4 days they sent me a link that takes me to the first place to request for a password reset. I called customer service 5 6 times and they are like, we can't do much!? and just passing me around. If your customer service ppl don't have any authority to help people, why do u have it in the first place?",DK
7,www.apple.com,2023-01-11T03:19:30.000Z,5,"Love my iPhone 14 Pro, Apple Watch Ultra, & MacBook Pro","Upgraded last year to a MacBook Pro, Apple Watch Ultra, and iPhone 14 Pro and am very happy with the quality of the products and overall seamless integration of how the devices work across each other and the network. Apple Watch Ultra battery life is solid and a huge upgrade to pervious gens. iPhone 14 Pro battery life is also very good and photo quality is impressive.",US
8,www.apple.com,2023-01-09T12:51:12.000Z,1,They sell faulty devices!,"My Ipad had washed out colors. Turned out most of the series had the same issue. They replaced that for me. Obviously with a refurbished one, as after 1 year the logic board is dead! Nothing to do about it. Not a single scratch on the device, it looks brand new. Yet it's dead. They won't replace it now, they don't even care.",GR
9,www.apple.com,2023-01-10T01:00:49.000Z,1,Pathetic for a large company,"Constantly changing their products so consumers need to buy overpriced additional accessories and their 2 hour delivery service is a joke. They'll just cancel the order on you without any notice. Then any gift cards you used will be refunded a full 24 hours later. And they pretty much just say ""oh well, it is what it is.""  For how big this company this is, this is just sad and pathetic. But I guess when you're already rich and successful, you can have a ""f*** you, that's why"" attitude.",US
