,site,date,stars,title,text,location
0,www.ebay.com,2023-01-13T20:26:01.000Z,1,be very careful when buying on ebay uk…,be very careful when buying on ebay uk they try not to refund your money as like it happened to me i wrang ebay my printers not workingan address to send a parcel back but ebay uk will not refund its the second time  dec 2021 i bought a table tennis net it was delivered to the wrong address it took 10 calls and 20 emalis before they refunded my money,GB
1,www.ebay.com,2023-01-12T23:13:26.000Z,1,Ebay no longer offers any protection…,"Ebay no longer offers any protection for buyers, items that are never shipped or even show in transit for months and never actually show up do not get refunded and you can not even leave a rating or review as the transaction never finished even though the seller took your money months ago. FYI seller was dumbdealz.",US
2,www.ebay.com,2023-01-13T00:53:21.000Z,1,Incompetent people in the back team…,"Incompetent people in the back team saftey and trust ! They do allow fraudulent sellers in the platform but not serious buissines.  27 agents and a trip to London to sort out a issue with the account and counting ... issue still not resolved. Thank you, but no thank you ...",GB
3,www.ebay.com,2023-01-11T14:20:13.000Z,1,I bought items on eBay from Foido.com,"I bought items on eBay from Foido.com Items never ever be delivered. I did ask for refund or resend. They sent a link delivered . I asked them send photos of delivery, date,time because my CCTV 7/24.  They refused to refund  Saler run away to refuse refund    I will quit out of EBay. Avoid this business. Amazon.com is better and trustworthy",GB
4,www.ebay.com,2023-01-11T18:13:44.000Z,1,Bought some vintage boots size 5 from…,"Bought some vintage boots size 5 from Jennifer jeans, when they turned up were definitely NOT a size 5, more like 6 1/2, rules state you can return for refund if don’t fit, tried that with the seller all I got was abusive messages and threats, reported the seller and waiting on PayPal now to try and get my money back for false advertising",GB
5,www.ebay.com,2023-01-11T16:28:40.000Z,1,Please don't buy any thing from this Ebay Store,"In fact, eBay is one of the good sites, but this store on eBay (jewholesaleoutlet) sent me expired capsules, and when I asked him to refund me, he refused, so I wanted to share with you my experience with this store (jewholesaleoutlet)so that no one else would make the same mistake and buy from this store",OM
6,www.ebay.com,2023-01-12T05:40:02.000Z,1,Buy a product that cost 36 euro from…,"Buy a product that cost 36 euro from seller , go to check out , get SCAMMED and RIPPED of by ebay suddenly the price is 78 euros , EXTREMELY HIGH SHIPPING AND TAXES AND IMOORT FEES , im never ever using this website again , switching site , bye bye criminal scumbags ebay.",NO
7,www.ebay.com,2023-01-10T22:48:45.000Z,2,Be cautious when buying books!,"Whenever I am specifically looking for hardback books I'll put a check mark in that box. Unfortunately, many times I am unknowingly channeled into viewing paper back books that I assume are hardback! This has been a never ending problem as I end up getting paperback books that I DO NOT want!! I've learned my lesson. My book buying days at ebay have ended. The aggravation is too much.",US
8,www.ebay.com,2023-01-11T13:32:20.000Z,1,11 years loyalty means nothing to ebay!,Loyal customer for 11 years means absolutely nothing to ebay.please do not use this company as when things go wrong ebay does nothing  to assist.placed an order with a seller on their platform & 1st the seller dispatches my item 3 days late. They ignore my emails & deliver without any prior notice& leave it in a safe place....my door step when nobody is home so no proof of delivery but ebay says they have fulfilled their duties as a seller.If you have money & time to waste by all means use ebay!! It's been 2 months of endless calls & emails & still haven't received my item or a refund!!!,GB
9,www.ebay.com,2023-01-10T21:22:25.000Z,1,Cancelling a protection plan.,"I had a lot of trouble cancelling a protection plan I got for my Dad on an item. Called ebay customer service number (866)540-3229 and found out you can't speak to a real person. Their website referred me to squaretrade.com. From there I had to go to an Allstate site, create an account, find the policy then cancel it.",US
10,www.ebay.com,2023-01-12T06:12:31.000Z,1,Poor customer service!,"What has happened to eBay? It used to be an excellent place to find odd stuff. Lately, they have the worst customer service in the entire web. I will avoid at all cost to shop there until they get their act together. It’s just a shame!",US
11,www.ebay.com,2023-01-12T23:07:16.000Z,1,Suspended My Account Without Reason!,"I don't know how to classify the behavior of eBay.  I created my account 30 December, contacted a seller, and shortly thereafter eBay suspended my account!  I called their customer service to get this resolved and I was notified that my account was suspended indefinitely!  I asked for a reason for the suspension and they would not give me one.  What they told me was that for them to give me a reason, it would circumvent policies.  I asked the customer service rep, ""How can you suspend someone's account the same day they create it?""  I got no answer for that either.  I had heard good things about eBay over the years and finally decided to try it to buy something I really have a need for.  Needless to say, I am very disappointed and dissatisfied with eBay!",US
