,site,date,stars,title,text,location
0,www.godaddy.com,2023-01-14T06:33:11.000Z,5,Excellent customer service,"I was a bit flustered trying to set up my account & accidentally ordered multiple items unnecessarily. I was expecting to be talked down to & generally given a hard time about canceling those items without being billed. The representative was polite, helpful, very friendly & made the whole process stress-free. I spent my morning complimenting Go-Daddy and their staff to all my customers!",US
1,www.godaddy.com,2023-01-13T22:15:11.000Z,5,My son is in the process of starting…,"My son is in the process of starting his own business selling Christian apparel, and GoDaddy has been a wonderful partner in this journey. Our representative, Paul, was extremely knowledgeable with the platform and guided us through all the aspects of the site. At GoDaddy they are truly living by their mission to provide the highest service to help people start and grow their business.",US
2,www.godaddy.com,2023-01-13T19:25:12.000Z,5,Great GoDaddy customer service Pro- services…,"GoDaddy customer service Pro- services for our WordPress Website design team consistently  exceeds my expectations. Professional, knowledgeable customer service reps listen and patiently take the time to handle each request or question I have. The quality of service at affordable rates has made our website build a great value. I've used GoDaddy for over 10 years and find them better than ever with the services they now offer.",US
3,www.godaddy.com,2023-01-13T18:49:40.000Z,5,GoDaddy gets a 5-star rating for Customer Service,"I've been using GoDaddy for my needs on Domains and Websites for 9 years or so. I just recently  called in for some assistance. The customer service rep that I had was exceptional. Brian. He was able to take care of everything I needed in a timely manner. He kept me informed on our progress, and was friendly and knowledgeable as well. I'm so grateful to have met and worked with Brian. Thank you GoDaddy for the best customer service EVER !!!",US
4,www.godaddy.com,2023-01-13T23:03:40.000Z,5,We have used GoDaddy for six years,"We have used GoDaddy for a number of years to host a website for us, because of changes in our lives we no longer needed the service. We should have canceled before it renewed, life happened and we did not. One phone call and a very pleasant conversation and the service was canceled and all fees refunded. I am very pleased with the service I received.",US
5,www.godaddy.com,2023-01-14T02:47:57.000Z,5,Kudos to Timothy3909,"Customer Service Rep Timothy3909 was absolutely fantastic.  He took the time to work out some complex issues.  There were many steps that were needed and he did a great job, meticulously working everything out.   I wish you could select your CSR when you call in, I would select Timothy every time.  You have a good one here GoDaddy.  Keep him happy!!",US
6,www.godaddy.com,2023-01-13T23:31:45.000Z,5,Marisa,"Marisa, don't know her last name seemed a little shy in the beginning but the more we dialogued, she really understood what I needed and she is an excellent coach.  I have been in PR for years and she needs to be commended for customer service but more so, making the customer (me) not feel lost or insignificant.  Thanks Marisa.  SportsStraps",US
7,www.godaddy.com,2023-01-13T20:01:19.000Z,1,Never again. RUN!,"GoDaddy has the worst customer support I've ever seen. No one on the GoDaddy support team knows what they are doing. I spend HOURS with them just being transferred from one person to another, none of who were even able to help. This type of interaction has happened EVERY TIME I message into support. Utterly ridiculous.",CA
8,www.godaddy.com,2023-01-13T16:10:07.000Z,4,Go Daddy provides comprehensive access…,Go Daddy provides comprehensive access to the web for a variety of users. That creates a problem for me because it becomes very complicated. I only want a simple site but getting started is complicated. I already have a website but the GoDaddy site looks way more detailed so more complicated. Its not easy folks,GB
9,www.godaddy.com,2023-01-13T21:34:03.000Z,5,Talk about patient people working with…,Talk about patient people working with people who don’t know a lot about websites. This is the most amazing company. They are so patient walked me through everything explained everything in detail and make sure I knew where to go to look for what I was looking for. Absolutely a wonderful experience!,US
10,www.godaddy.com,2023-01-13T20:57:17.000Z,5,Best Company with the BEST customer service ever!,"I actually completed my website 99% by myself, having never done one before- before I even had to call for help with just a couple things- because the build your own website and it's templates are SO user friendly! I was amazed at what I was able to do and how awesome my website turned out! When I did have to finally call for a little help, on two occasions, each customer service person I spoke with were SO kind, patient, and helpful! They each guided me quickly through the things I just didn't know how to do. I'm so happy I'm over the moon with Joy!",US
11,www.godaddy.com,2023-01-13T17:01:16.000Z,5,NICK IS A LEGEND!!!!,"NICK IS A LEGEND!!!! Seriously never been more impressed with customer care in my life. Been stressed with ""hosting"" issues, I rang godaddy rather optimistically TBH, not in expectation. I got through to Nick and straight of the bat the guy was calm, friendly, reassuring, knowledgeable and supportive. This continued throughout our 40 minute call and he resolved every issue, went above and beyond and in all honestly it felt like a super knowledgeable friend was helping me. I cant thank Nick enough and I will now always be with godaddy due to the level of care received.",GB
12,www.godaddy.com,2023-01-13T21:57:03.000Z,5,"This GoDaddy support person, Danielle, was excellentt","I have been trying to resolve an email issue for several months without success unit connecting with support person Danielle who was very patient, knowledgeable and helpful. She knew exactly where to find and fix the problem and after several minutes solved the problem.",US
13,www.godaddy.com,2023-01-13T17:18:51.000Z,5,I’ve been a GD customer  for years and I…,I’ve been a GD customer for years and I never had a problem with them if for any reason I’m not going to use a DN I call and get a refund when my renewal expires and been charged on credit card no need to cancel card. Will always and forever return. No one but GD.,US
14,www.godaddy.com,2023-01-14T06:05:39.000Z,5,We have been having issues with our email not reaching our clients.  The MX records and DNS setting were incorrectly setup by the OTHER company.,"We have been having issues with our email setup on another companies services. We had tried numerous times to resolve the issue with them. To no avail. To have reached out to this young man, received his pinpoint assessment of the issue and resolution was a tremendous help.  We will be moving all of our online services to go daddy.  Once we had the correct information the other service said we could fix it ourselves and dropped from assisting us.  Adrian, stayed with us to the end of the resolution.  Go Daddy finished 1st place in Customer satisfaction on this call.  Thank you Adrian.",US
15,www.godaddy.com,2023-01-13T19:30:45.000Z,5,Good experience with Customer Service,Had a good experience with Customer support.  Answered all my questions and had no problem walking me through what steps need to be taken. No long waits until someone answered the phone and responded quickly with answers and recommendations.. Good job Go Daddy!,US
16,www.godaddy.com,2023-01-13T22:39:21.000Z,5,Best Customer Service,"Ryan was super knowledgeable, friendly, helpful, and professional. He even helped me with issues on my account that I wasn't aware were there and he took the time to explain simple concepts to me. I really couldn't ask for a better customer service experience.",US
17,www.godaddy.com,2023-01-13T21:57:55.000Z,5,GoDaddy's Frontline Receptionist,"On Jan. 13, 2023, I call GoDaddy to get an update on my acct. and to make a payment. The tech perhaps a young adult, was patient and willing to listen, if I wasn't clear on what had been said, there was no gestures of exhaustion or ""I just said that""!",US
18,www.godaddy.com,2023-01-13T00:42:43.000Z,5,Clayton Saved The Day,Great day family! I had a small issue with getting my domain transferred from the current host to Go Daddy. Seems like it was a little complicated to get resolve so I was honestly frustrated. I finally connected with Clayton and he went above and beyond to work with me. I’ve never been so happy to see a website before 😂 but Clayton is the man with the plan and that man needs a raise. Thank you Clayton!! Big Faith,US
19,www.godaddy.com,2023-01-12T20:29:11.000Z,3,I felt like my representative was more interested in selling me an upgrade!…,I felt like my representative was more interested in selling me an upgrade to my account than helping me to resolve my reason for calling.  He told me that the only way I could delete emails from the server was to delete them one at a time.  This was not true!  He acted like I was a bother.  He deep sighed a couple of times like my questions irritated him.  I started poking around I found the way to do it myself.  It was easy to do.,US
20,www.godaddy.com,2023-01-13T12:29:29.000Z,5,A quick and simple fix to a payment…,"A quick and simple fix to a payment issue with a 3rd party, which I was not notified of. The 90 day protection attached to my domain ensured my connection wasn't broken. The company is more efficient than overs I deal with and the young lady I spoke to resolved the issue very quickly. I will now consider transferring my other domains to Go Daddy at renewal time.",GB
21,www.godaddy.com,2023-01-12T20:39:28.000Z,5,The GoDaddy support team is great,"The GoDaddy products are great, but the customer service is excellent! The tech advisor that answered my call “Carter” was a Pro, he understood my questions and went above my expectations in his assistance in answering my questions and he explained his answer to me which was great. Great companies have great people working in them, PEOPLE make the difference!",US
22,www.godaddy.com,2023-01-13T04:50:52.000Z,1,turned off most of the auto renewals on…,"turned off most of the auto renewals on my subscriptions, then today I receive a billing for a product I canceled the renewal on.  I logged into my account and found all of the auto re-new's turned on.  Spend 90 minutes on hold to talk with someone about the problem.  She did issue a refund on the renewal that should not have happened at all.",US
23,www.godaddy.com,2023-01-13T23:17:04.000Z,5,Cherry was extremely helpful,Cherry was extremely helpful.  She stayed on the line while I input and updated my information. She was extremely patient and dedicated to providing the best customer experience.   Thanks again Cheery ✨🙏 Eimee DeRise Treasures of the Valley,US
