,site,date,stars,title,text,location
0,www.microsoft.com,2023-01-11T15:30:51.000Z,5,Really like the overall experience with the MS Products,"Really like the experience with all the products of the company. Microsoft Edge is working perfectly fine, Microsoft Office is beautiful set of apps to use on daily Baisis, using the Microsoft To Do, which I absolutely enjoy. The One Note application is working as it should be for my working purposes.",UA
1,www.microsoft.com,2023-01-08T21:47:22.000Z,1,Microsoft.com,"Microsoft Office - Support Team is a Big Joke. I purchased office 2016, 2019, and 2021 for my MacBook Pro Computers. If you call their support team you are in for a big surprise. You have to pay $400.+ to speak to someone. Otherwise, communication is via chat, and their experts do not have a clue on how to help. One so-called expert tried to do a screen share and discovered that his software did not work and needed to report it. I blame the CEO at Microsoft for not offering real support.",US
2,www.microsoft.com,2023-01-05T22:19:50.000Z,1,Double Trouble x2,"Double dreadful service with Windows products on new ASUS computers. Windows 11 needs updating with version 22H2, but it does not function even via Microsoft.   There are numerous reports on Microsoft website to that effect. How can Microsoft behave so disreputably?",GB
3,www.microsoft.com,2023-01-06T05:53:11.000Z,1,Slow and disdainful support,"Had been using their reward program for years, saving up points. When I tried to redeem something, I'm suddenly banned. Funny how when I first started and had few points, I was able to redeem something no problem - but when I have hundreds of dollars worth of points... Contacting support results in a form letter reply  received a week later passing the case to another department. A week after that, they close the case with another form letter claiming I broke one or more of a list of rules. Having reviewed them, I opened another ticket insisting I didn't, and asking for the account to be restored, or for them to at least tell me what I allegedly did wrong. Futile. Same week long delays, same form letters.",US
4,www.microsoft.com,2022-12-23T00:14:59.000Z,1,This is a very bad product and even worse custom experience,"This is a very bad product and even worse custom experience, the OS is getting worse every year. and the website is run by bots that copy and paste answers. there is nothing going on at microsucks these days, all programming and tech supports is outsourced across seas to lowest paid call centers. The product is really getting bad and forced updates are a deliberate spit in the face.",US
5,www.microsoft.com,2022-12-21T06:22:27.000Z,1,horrible,"the rewards function is absolute bull. i have put in my phone number on the phone verification a dozen times over the past few minutes, and not a single text message has come. on top of that, 2fa doesnt even work because it doesnt send text messages to your phone.  microsoft, fguck you.",JP
6,www.microsoft.com,2022-12-19T02:02:50.000Z,1,poor costumer satisfaction,"Trying to buy games from a 360 xbox , is a complete joke as it sent me to the American store when I live in the uk, tried to sort this out them but completely useless as there virtual assistant is well stupid, this happens also on there online website for Windows 10. needs fixing.",GB
7,www.microsoft.com,2022-12-19T18:28:40.000Z,1,EDGE browser=UGH,"The EDGE browser is becoming a nightmare. I was completely unable to click any links at the Sam's Club photo website. Then, I switched to the Opera browser, and EVERYTHING worked. Plus, there is NO help link for Edge problems. UGH.",US
8,www.microsoft.com,2022-12-20T14:50:59.000Z,1,Windows 11 - not fit for purpose!,"My current laptop, I've had now for 19 months, and during the entire time, Microsoft Explorer crashes every few minutes, and each time it does I am unable to use the PC for 4 to 5 minutes each time. Effectively I spend half of my time just looking at the screen waiting to be able to continue typing. I have been trying to get this issue fixed now for 19 months, and the only things Microsoft Support can do is to run a ""scan"" or reinstall the operating system. Each time they do this, it causes huge inconvenience as I have to reinstall everything, and the problem just comes back a few weeks later. Utterly useless and not fit for purpose, IMHO. Oh, and support claims it's a hardware issue, but with no evidence of this other than the assumption that their product is bug free!",GB
9,www.microsoft.com,2022-12-05T15:31:00.000Z,1,Microsoft Home Page,"The news feed and stories on the Microsoft home page is full of low brow hate. Stories about how awful celebrities look without their makeup and so forth, which is really depressing.  You can block certain news feeds but this takes a lot of time and others appear in their place. You don't expect this from a what used to be a 'premium' brand like Microsoft. Bring back Bill Gates!",GB
